mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity	Reeds	ReedRatioAComm	ReedRatioTComm	ActivityDueToReeds	Turfs	TurfRatioAComm	TurfRatioTComm	ActivityDueToTurfs	ActiveCommits	ActiveCommitRatio
0	2006-07	1	56	709	56	0	709	0	0	0	0	0	0	0	709	0	0	709	0	709	1	1.0	1.0	709	0	0.0	0.0	0	1	1.0
1	2006-08	2	55	703	0	1	0	6	0	0	0	0	-1	-6	0	6	0	0	6	6	0	0.0	0.0	0	1	1.0	0.5	6	1	0.5
2	2006-09	5	57	716	2	0	12	0	2	1	12	0	2	13	14	1	12	14	13	27	0	0.0	0.0	0	4	1.0	0.8	27	4	0.8
3	2006-10	4	57	718	0	0	0	0	9	7	1	0	0	2	9	7	1	9	8	17	0	0.0	0.0	0	3	1.0	0.75	17	3	0.75
4	2006-11	2	58	732	1	0	14	0	0	0	1	0	1	14	14	0	1	14	1	15	0	0.0	0.0	0	2	1.0	1.0	15	2	1.0
5	2006-12	0	58	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
6	2007-01	0	58	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
7	2007-02	2	58	732	0	0	0	0	0	0	21	0	0	0	0	0	21	0	21	21	1	0.5	0.5	20	1	0.5	0.5	1	2	1.0
8	2007-03	3	59	742	1	0	6	0	4	0	3	0	1	10	10	0	3	10	3	13	0	0.0	0.0	0	3	1.0	1.0	13	3	1.0
9	2007-04	7	51	700	0	8	0	42	3	3	61	0	-8	-42	3	45	61	3	106	109	2	0.4	0.29	99	3	0.6	0.43	10	5	0.71
10	2007-05	5	53	714	2	0	15	0	2	3	10	0	2	14	17	3	10	17	13	30	0	0.0	0.0	0	5	1.0	1.0	30	5	1.0
11	2007-06	1	53	715	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0.0	0.0	0	1	1.0	1.0	1	1	1.0
12	2007-07	5	56	738	3	0	15	0	65	57	5	1	3	23	80	57	6	80	63	143	3	0.75	0.6	138	1	0.25	0.2	5	4	0.8
13	2007-08	1	56	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0	0	0.0	0.0	0	0	0.0
14	2007-09	2	55	744	0	1	0	6	12	0	2	0	-1	6	12	6	2	12	8	20	1	0.5	0.5	17	1	0.5	0.5	3	2	1.0
15	2007-10	7	58	761	3	0	21	0	0	4	6	0	3	17	21	4	6	21	10	31	1	0.17000000000000004	0.14	23	5	0.83	0.71	8	6	0.86
16	2007-11	1	58	761	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0.0	0.0	0	1	1.0	1.0	1	1	1.0
17	2007-12	0	58	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
18	2008-01	1	58	761	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0.0	0.0	0	1	1.0	1.0	1	1	1.0
19	2008-02	0	58	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
20	2008-03	2	58	761	0	0	0	0	5	5	86	0	0	0	5	5	86	5	91	96	1	0.5	0.5	95	1	0.5	0.5	1	2	1.0
21	2008-04	14	59	759	6	5	30	39	26	19	6	0	1	-2	56	58	6	56	64	120	3	0.27	0.21	96	8	0.73	0.57	24	11	0.79
22	2008-05	2	60	764	1	0	6	0	2	3	4	0	1	5	8	3	4	8	7	15	0	0.0	0.0	0	2	1.0	1.0	15	2	1.0
23	2008-06	2	62	778	2	0	12	0	8	6	8	0	2	14	20	6	8	20	14	34	1	0.5	0.5	29	1	0.5	0.5	5	2	1.0
24	2008-07	8	70	849	10	2	92	29	8	0	1	0	8	71	100	29	1	100	30	130	4	0.6699999999999999	0.5	117	2	0.33	0.25	13	6	0.75
25	2008-08	2	71	852	1	0	6	0	5	8	16	0	1	3	11	8	16	11	24	35	1	0.5	0.5	23	1	0.5	0.5	12	2	1.0
26	2008-09	0	71	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
27	2008-10	0	71	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
28	2008-11	1	71	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0	0	0.0	0.0	0	0	0.0
29	2008-12	2	72	854	1	0	1	0	1	0	0	0	1	2	2	0	0	2	0	2	0	0.0	0.0	0	2	1.0	1.0	2	2	1.0
30	2009-01	1	72	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0	0	0.0	0.0	0	0	0.0
31	2009-02	0	72	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0
32	2009-03	2	73	858	1	0	3	0	1	0	0	0	1	4	4	0	0	4	0	4	0	0.0	0.0	0	2	1.0	1.0	4	2	1.0
